"municipio","lat","lon","fuerza_senador","fuerza_diputado"
"La Tigra","-27.09760023865112","-60.630476922179334","FUERZA PATRIA","FUERZA PATRIA"
"El Sauzalito","-24.752343962255495","-61.649064743291966","FUERZA PATRIA","FUERZA PATRIA"
"Hermoso Campo","-27.591093827147038","-61.26959583368309","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Chorotis","-27.9152123492928","-61.54427697333174","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"General Vedia","-26.895937480042235","-58.69284367083454","FUERZA PATRIA","FUERZA PATRIA"
"Concepción del Bermejo","-26.43400094365718","-60.89863817306633","FUERZA PATRIA","FUERZA PATRIA"
"La Leonesa","-26.9556109325083","-58.8373405171111","FUERZA PATRIA","FUERZA PATRIA"
"Las Palmas","-27.13317524799266","-58.7157581489511","FUERZA PATRIA","FUERZA PATRIA"
"Puerto Bermejo","-26.93227948285716","-58.53612049255533","FUERZA PATRIA","FUERZA PATRIA"
"La Clotilde","-27.162984186695","-60.673825662754176","FUERZA PATRIA","FUERZA PATRIA"
"Miraflores","-25.299435339638375","-60.91251185625998","FUERZA PATRIA","FUERZA PATRIA"
"Misión Nueva Pompeya","-24.911633412127866","-61.520854239176224","FUERZA PATRIA","FUERZA PATRIA"
"Villa Río Bermejito","-25.37944978230241","-60.636409916157156","FUERZA PATRIA","FUERZA PATRIA"
"General San Martín","-26.406846151271726","-59.13511318556759","FUERZA PATRIA","FUERZA PATRIA"
"Santa Sylvina","-27.87589565683513","-61.1674279117839","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Corzuela","-26.873549040972005","-61.035861133145914","FUERZA PATRIA","FUERZA PATRIA"
"Presidencia Roca","-26.064972580216597","-59.66281313733929","FUERZA PATRIA","FUERZA PATRIA"
"La Escondida","-27.088032245651615","-59.45260085809589","FUERZA PATRIA","FUERZA PATRIA"
"Fuerte Esperanza","-24.611512996369783","-62.11600847109383","FUERZA PATRIA","FUERZA PATRIA"
"Campo Largo","-26.8571998315948","-60.79932371585784","FUERZA PATRIA","FUERZA PATRIA"
"Napenay","-26.69435579457793","-60.630559144971116","FUERZA PATRIA","FUERZA PATRIA"
"Resistencia","-27.61234828523081","-59.114923973321666","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Los Frentones","-26.12679723758069","-61.467221549989155","FUERZA PATRIA","FUERZA PATRIA"
"Pampa del Infierno","-26.39671073622254","-61.206424152252275","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Taco Pozo","-25.344402305850252","-62.6722487935652","FUERZA PATRIA","FUERZA PATRIA"
"Enrique Urién","-27.73680752994603","-60.51274879916961","FUERZA PATRIA","FUERZA PATRIA"
"Quitilipi","-26.692470277235785","-60.18476644724467","FUERZA PATRIA","FUERZA PATRIA"
"Isla del Cerrito","-27.285507981918858","-58.68077388502706","FUERZA PATRIA","FUERZA PATRIA"
"Gancedo","-27.423635147270907","-61.64288587490606","FUERZA PATRIA","FUERZA PATRIA"
"General Capdevila","-27.42879981374304","-61.463792344011196","FUERZA PATRIA","FUERZA PATRIA"
"General Pinedo","-27.303378433671515","-61.34337831940432","FUERZA PATRIA","FUERZA PATRIA"
"Puerto Eva Perón","-26.703496429929153","-58.63498310638171","FUERZA PATRIA","FUERZA PATRIA"
"Presidencia Roque Sáenz Peña","-26.771701973083257","-60.469808470474334","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Charata","-27.14100261219367","-61.284439059254964","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Lapachito","-27.156839557340646","-59.36930013518671","FUERZA PATRIA","FUERZA PATRIA"
"Villa Ángela","-27.701345061908118","-60.78077552072076","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Las Breñas","-26.982824273480762","-61.22724458582695","FUERZA PATRIA","FUERZA PATRIA"
"La Verde","-27.131024802978178","-59.34460135580014","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Makallé","-27.13726118602115","-59.30066120832583","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"El Espinillo","-25.40963055205623","-60.444811217694514","FUERZA PATRIA","FUERZA PATRIA"
"Juan José Castelli","-25.576070413463302","-60.58249648391096","FUERZA PATRIA","FUERZA PATRIA"
"Avia Terai","-26.59431051769095","-60.70684558723589","FUERZA PATRIA","FUERZA PATRIA"
"Colonia Popular","-27.257139006302857","-59.08060728358174","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Laguna Blanca","-27.236148178351225","-59.186940431460634","VAMOS CHACO","VAMOS CHACO"
"Puerto Tirol","-27.346982177764108","-59.17881296722439","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Ciervo Petiso","-26.5334578524587","-59.60047896546599","FUERZA PATRIA","FUERZA PATRIA"
"La Eduvigis","-26.869867349674276","-59.16229699796413","FUERZA PATRIA","FUERZA PATRIA"
"Laguna Limpia","-26.403416928005917","-59.703659475631696","FUERZA PATRIA","FUERZA PATRIA"
"San Bernardo","-27.32536240783313","-60.75885718377464","FUERZA PATRIA","FUERZA PATRIA"
"Presidencia de la Plaza","-27.010867441015446","-59.753357598134365","FUERZA PATRIA","FUERZA PATRIA"
"Colonia Benítez","-27.247224110736052","-58.78830621970388","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Margarita Belén","-27.185156180030955","-58.98205522230914","FUERZA PATRIA","FUERZA PATRIA"
"Pampa del Indio","-25.87156218999036","-59.906615475938814","FUERZA PATRIA","FUERZA PATRIA"
"Tres Isletas","-26.333012382448686","-60.35119274562708","FUERZA PATRIA","FUERZA PATRIA"
"Coronel Du Graty","-27.747753641741642","-60.888666486364826","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Barranqueras","-27.50005294608523","-58.93408093732176","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Villa Berthet","-27.184792473971708","-60.37934677719705","FUERZA PATRIA","FUERZA PATRIA"
"Capitán Solari","-26.80879006312891","-59.41062609488705","FUERZA PATRIA","FUERZA PATRIA"
"Colonia Elisa","-26.957293093642715","-59.44798486820414","FUERZA PATRIA","FUERZA PATRIA"
"Colonias Unidas","-26.705199748541073","-59.61568179316023","FUERZA PATRIA","FUERZA PATRIA"
"Las Garcitas","-26.628901762138252","-59.77364112761143","FUERZA PATRIA","FUERZA PATRIA"
"Basail","-27.77348505114325","-59.166017806437786","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Fontana","-27.413309554452468","-59.020019911036215","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Cote Lai","-27.58529599771961","-59.67400870076605","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Puerto Vilelas","-27.623322387728503","-58.936098079545346","FUERZA PATRIA","FUERZA PATRIA"
"Samuhú","-27.6189424450091","-60.39795209101756","FUERZA PATRIA","FUERZA PATRIA"
"Charadai","-27.606796165600066","-59.76941543559368","FUERZA PATRIA","FUERZA PATRIA"
"Machagai","-26.725825410544722","-59.98531018204071","FUERZA PATRIA","FUERZA PATRIA"
"Pampa Almirón","-26.57957766102185","-59.007159192553424","LA LIBERTAD AVANZA","LA LIBERTAD AVANZA"
"Colonia Aborigen","-27.05576570114325","-60.10656066842466","FUERZA PATRIA","FUERZA PATRIA"
